api,definition_file,definition_kind,responsibility,bj_added_owner,caller_file_count,production_callers,test_callers,helper_callers,script_callers,caller_files
tests.helpers.replay_fem_read_smoke.final_emission_meta_from_output,tests/helpers/replay_fem_read_smoke.py,FunctionDef,supporting contract/test,False,50,0,47,3,0,tests/helpers/behavioral_gauntlet_eval.py;tests/helpers/gate_orchestration_smoke.py;tests/helpers/transcript_snapshots.py;tests/test_anti_railroading.py;tests/test_anti_railroading_retry_alignment.py;tests/test_anti_reset_emission_guard.py;tests/test_api_narration_path_selection.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_bv3a_observe_referential_clarity_repair.py;tests/test_bv3e_eligibility_expansion.py;tests/test_bv4b_concrete_beat_upstream_satisfier.py;tests/test_c4_narrative_mode_live_pipeline.py;tests/test_context_separation.py;tests/test_contextual_minimal_repair_regressions.py;tests/test_dead_turn_detection.py;tests/test_dead_turn_evaluation_threading.py;tests/test_empty_social_retry_regressions.py;tests/test_fallback_behavior_gate.py;tests/test_fallback_behavior_repairs.py;tests/test_final_emission_boundary_no_semantic_repair.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_n4.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_visibility.py;tests/test_golden_replay_direct_seam.py;tests/test_interaction_continuity_repair.py;tests/test_lead_lifecycle_block3_transcript_regression.py;tests/test_manual_play_latency.py;tests/test_narration_transcript_regressions.py;tests/test_narrative_authority_rules.py;tests/test_narrative_mode_output_validator.py;tests/test_observational_telemetry_confidence.py;tests/test_player_facing_narration_purity.py;tests/test_prompt_context.py;tests/test_referential_clarity_player_coref.py;tests/test_referential_clarity_strict_social_local_repair.py;tests/test_response_policy_contracts.py;tests/test_retry_tone_alignment.py;tests/test_run_scenario_spine_validation.py;tests/test_scene_state_anchoring.py;tests/test_social_emission_quality.py;tests/test_social_exchange_emission.py;tests/test_social_interaction_authority.py;tests/test_speaker_contract_risk.py;tests/test_tone_escalation_rules.py;tests/test_transcript_gauntlet_actor_addressing.py;tests/test_turn_packet_stage_diff_integration.py
tests.helpers.gate_orchestration_smoke.apply_final_emission_gate_consumer,tests/helpers/gate_orchestration_smoke.py,FunctionDef,gate orchestration/preflight,False,34,0,33,1,0,tests/helpers/strict_social_harness.py;tests/test_answer_completeness_rules.py;tests/test_anti_railroading.py;tests/test_anti_railroading_transcript_regressions.py;tests/test_anti_reset_emission_guard.py;tests/test_bv3a_observe_referential_clarity_repair.py;tests/test_bv4b_concrete_beat_upstream_satisfier.py;tests/test_c4_narrative_mode_live_pipeline.py;tests/test_context_separation.py;tests/test_dialogue_plan_final_emission_gate.py;tests/test_dialogue_social_convergence.py;tests/test_diegetic_fallback_narration.py;tests/test_final_emission_answer_exposition_plan_convergence.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_scene_integrity.py;tests/test_golden_replay_direct_seam.py;tests/test_interaction_continuity_repair.py;tests/test_lead_lifecycle_block3_transcript_regression.py;tests/test_lead_npc_payoff_and_fallback.py;tests/test_narration_transcript_regressions.py;tests/test_narrative_authority_rules.py;tests/test_narrative_mode_output_validator.py;tests/test_player_facing_narration_purity.py;tests/test_prompt_context.py;tests/test_referential_clarity_strict_social_local_repair.py;tests/test_response_delta_requirement.py;tests/test_response_policy_contracts.py;tests/test_run_scenario_spine_validation.py;tests/test_scene_destination_binding.py;tests/test_scene_state_anchoring.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_risk.py;tests/test_tone_escalation_rules.py;tests/test_upstream_fast_fallback_block_l.py
game.final_emission_gate.apply_final_emission_gate,game/final_emission_gate.py,FunctionDef,gate orchestration/preflight,False,17,1,16,0,0,game/final_emission_runtime.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_bv3a_observe_referential_clarity_repair.py;tests/test_bv3e_eligibility_expansion.py;tests/test_fallback_behavior_gate.py;tests/test_final_emission_boundary_no_semantic_repair.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_n4.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_visibility.py;tests/test_social_exchange_emission.py;tests/test_speaker_contract_risk.py;tests/test_tone_escalation_rules.py
game.final_emission_boundary_contract.assert_final_emission_mutation_allowed,game/final_emission_boundary_contract.py,FunctionDef,final-emission policy/metadata,False,12,10,2,0,0,game/fallback_provenance_debug.py;game/final_emission_acceptance_quality.py;game/final_emission_finalize.py;game/final_emission_generic_exit.py;game/final_emission_non_strict_stack.py;game/final_emission_opening_fallback.py;game/final_emission_repairs.py;game/final_emission_terminal_pipeline.py;game/final_emission_visibility_fallback.py;game/interaction_continuity.py;tests/test_final_emission_boundary_contract.py;tests/test_final_emission_opening_accept_debug.py
game.final_emission_runtime.finalize_player_facing_emission,game/final_emission_runtime.py,FunctionDef,final-emission policy/metadata,False,12,1,10,1,0,game/api_turn_support.py;tests/helpers/gate_orchestration_smoke.py;tests/test_anti_railroading_retry_alignment.py;tests/test_api_narration_path_selection.py;tests/test_contextual_minimal_repair_regressions.py;tests/test_dead_turn_detection.py;tests/test_fallback_behavior_repairs.py;tests/test_retry_tone_alignment.py;tests/test_social_emission_quality.py;tests/test_social_interaction_authority.py;tests/test_stage_diff_telemetry.py;tests/test_turn_packet_stage_diff_integration.py
tests.helpers.strict_social_harness.runner_strict_bundle,tests/helpers/strict_social_harness.py,FunctionDef,supporting contract/test,False,12,0,11,1,0,tests/helpers/speaker_relocation_shadow_harness.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_golden_replay_direct_seam.py;tests/test_prompt_context.py;tests/test_scene_state_anchoring.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_risk.py
tests.helpers.failure_classifier.classify_replay_failure,tests/helpers/failure_classifier.py,FunctionDef,supporting contract/test,False,11,0,5,6,0,tests/helpers/attribution_contract.py;tests/helpers/failure_classification_sync.py;tests/helpers/failure_dashboard_report.py;tests/helpers/golden_replay.py;tests/helpers/replacement_attribution_inventory.py;tests/helpers/replay_drift_taxonomy.py;tests/test_attribution_contract.py;tests/test_failure_classifier.py;tests/test_failure_dashboard_report.py;tests/test_replacement_attribution_inventory.py;tests/test_replay_drift_taxonomy.py
tests.helpers.opening_fallback_evidence.opening_gm_output,tests/helpers/opening_fallback_evidence.py,FunctionDef,fallback selection/projection,False,11,0,11,0,0,tests/test_api_narration_path_selection.py;tests/test_diegetic_fallback_narration.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility_fallback.py;tests/test_golden_replay_direct_seam.py;tests/test_realization_provenance.py;tests/test_run_scenario_spine_validation.py;tests/test_upstream_response_repairs.py
game.final_emission_meta.ensure_final_emission_meta_dict,game/final_emission_meta.py,FunctionDef,final-emission policy/metadata,False,10,9,1,0,0,game/final_emission_acceptance_quality.py;game/final_emission_finalize.py;game/final_emission_generic_exit.py;game/final_emission_narrative_mode_output.py;game/final_emission_passive_scene_pressure.py;game/final_emission_referential_clarity.py;game/final_emission_terminal_pipeline.py;game/final_emission_visibility_fallback.py;game/interaction_continuity.py;tests/test_final_emission_meta.py
game.runtime_lineage_telemetry.make_runtime_lineage_event,game/runtime_lineage_telemetry.py,FunctionDef,semantic replacement attribution,False,10,1,7,2,0,game/final_emission_replay_projection.py;tests/helpers/failure_classification_sync.py;tests/helpers/replay_observed_row_fixtures.py;tests/test_failure_classifier.py;tests/test_failure_dashboard_report.py;tests/test_fallback_incidence_report.py;tests/test_golden_replay_fallback_projection.py;tests/test_replacement_attribution_inventory.py;tests/test_replay_drift_taxonomy.py;tests/test_runtime_lineage_telemetry.py
